3.88E-02	0	0	0
9.57E-02	0	0	0
0.1912	0	0	0
0.2866	0	0	0
0.3821	0	0	0
0.4776	0	0	0
0.5731	0	0	0
0.6685	0	0	0
0.764	0	0	0
0.8595	0	0	0
0.955	0	0	0
1.05	0	0	0
1.146	0	0	0
1.241	0	0	0
1.337	0	0	0
1.432	0	0	0
1.528	0	0	0
1.623	0	0	0
1.719	0	0	0
1.814	0	0	0
1.91	0	0	0
2.005	0	0	0
2.101	0	0	0
2.196	0	0	0
2.292	0	0	0
2.387	0	0	0
2.483	0	0	0
2.578	0	0	0
2.674	0	1.68E-38	0
2.769	0	3.61E-34	0
2.864	0	2.15E-32	0
2.96	0	7.86E-31	0
3.055	0	1.90E-29	0
3.151	0	1.90E-29	0
3.246	0	3.44E-27	0
3.342	0	3.59E-26	0
3.437	0	2.61E-25	0
3.533	0	1.52E-24	0
3.628	0	7.24E-24	0
3.724	0	2.92E-23	0
3.819	0	1.01E-22	0
3.915	0	3.08E-22	0
4.01	0	8.31E-22	0
4.106	0	2.03E-21	0
4.201	0	4.52E-21	0
4.297	0	9.32E-21	0
4.392	0	1.80E-20	0
4.488	0	3.31E-20	0
4.583	0	5.81E-20	0
4.679	0	9.88E-20	0
4.774	0	1.64E-19	0
4.869	0	2.70E-19	0
4.965	0	4.46E-19	0
5.06	0	7.54E-19	0
5.156	1.00E-27	1.35E-18	0
5.251	7.03E-26	2.67E-18	0
5.347	6.77E-24	5.81E-18	0
5.442	3.03E-22	1.16E-17	0
5.538	4.21E-21	2.00E-17	0
5.633	2.68E-20	3.09E-17	0
5.729	1.06E-19	4.43E-17	0
5.824	3.13E-19	6.05E-17	0
5.92	7.53E-19	7.96E-17	0
6.015	1.57E-18	1.02E-16	5.00E+20
6.111	2.95E-18	1.27E-16	5.00E+20
6.206	5.12E-18	1.57E-16	5.00E+20
6.302	8.34E-18	1.90E-16	5.00E+20
6.397	1.29E-17	2.26E-16	5.00E+20
6.493	1.91E-17	2.68E-16	5.00E+20
6.588	2.73E-17	3.13E-16	5.00E+20
6.684	3.78E-17	3.63E-16	5.00E+20
6.779	5.11E-17	4.18E-16	5.00E+20
6.874	6.75E-17	4.78E-16	5.00E+20
6.97	8.73E-17	5.43E-16	5.00E+20
7.065	1.11E-16	6.13E-16	5.00E+20
7.161	1.39E-16	6.88E-16	5.00E+20
7.256	1.71E-16	7.68E-16	5.00E+20
7.352	2.08E-16	8.54E-16	5.00E+20
7.447	2.50E-16	9.45E-16	5.00E+20
7.543	2.97E-16	1.04E-15	5.00E+20
7.638	3.49E-16	1.14E-15	5.00E+20
7.734	4.07E-16	1.25E-15	5.00E+20
7.829	4.70E-16	1.36E-15	5.00E+20
7.925	5.39E-16	1.47E-15	5.00E+20
8.02	6.13E-16	1.59E-15	5.00E+20
8.116	6.93E-16	1.71E-15	5.00E+20
8.211	7.79E-16	1.84E-15	5.00E+20
8.307	8.69E-16	1.97E-15	5.00E+20
8.402	9.66E-16	2.11E-15	5.00E+20
8.498	1.07E-15	2.24E-15	5.00E+20
8.593	1.17E-15	2.38E-15	5.00E+20
8.689	1.29E-15	2.53E-15	5.00E+20
8.784	1.40E-15	2.67E-15	5.00E+20
8.88	1.52E-15	2.82E-15	5.00E+20
8.975	1.65E-15	2.97E-15	5.00E+20
9.07	1.78E-15	3.12E-15	5.00E+20
9.166	1.92E-15	3.27E-15	5.00E+20
9.261	2.06E-15	3.43E-15	5.00E+20
9.357	2.20E-15	3.58E-15	5.00E+20
9.452	2.35E-15	3.74E-15	5.00E+20
9.548	2.50E-15	3.90E-15	5.00E+20
9.643	2.65E-15	4.05E-15	5.00E+20
9.739	2.81E-15	4.21E-15	5.00E+20
9.834	2.97E-15	4.37E-15	5.00E+20
9.93	3.14E-15	4.53E-15	5.00E+20
10.03	3.30E-15	4.69E-15	5.00E+20
10.12	3.47E-15	4.86E-15	5.00E+20
10.22	3.65E-15	5.02E-15	5.00E+20
10.31	3.82E-15	5.18E-15	5.00E+20
10.41	4.00E-15	5.34E-15	5.00E+20
10.5	4.18E-15	5.50E-15	5.00E+20
10.6	4.37E-15	5.66E-15	5.00E+20
10.69	4.55E-15	5.82E-15	5.00E+20
10.79	4.74E-15	5.99E-15	5.00E+20
10.88	4.93E-15	6.15E-15	5.00E+20
10.98	5.12E-15	6.31E-15	5.00E+20
11.08	5.32E-15	6.47E-15	5.00E+20
11.17	5.51E-15	6.63E-15	5.00E+20
11.27	5.71E-15	6.79E-15	5.00E+20
11.36	5.91E-15	6.95E-15	5.00E+20
11.46	6.11E-15	7.10E-15	5.00E+20
11.55	6.32E-15	7.26E-15	5.00E+20
11.65	6.52E-15	7.42E-15	5.00E+20
11.74	6.72E-15	7.58E-15	5.00E+20
11.84	6.93E-15	7.73E-15	5.00E+20
11.93	7.14E-15	7.89E-15	5.00E+20
12.03	7.35E-15	8.05E-15	5.00E+20
12.13	7.56E-15	8.20E-15	5.00E+20
12.22	7.77E-15	8.36E-15	5.00E+20
12.32	7.98E-15	8.51E-15	5.00E+20
12.41	8.20E-15	8.66E-15	5.00E+20
12.51	8.41E-15	8.81E-15	5.00E+20
12.6	8.63E-15	8.97E-15	5.00E+20
12.7	8.85E-15	9.12E-15	5.00E+20
12.79	9.06E-15	9.27E-15	5.00E+20
12.89	9.28E-15	9.42E-15	5.00E+20
12.98	9.50E-15	9.57E-15	5.00E+20
13.08	9.72E-15	9.71E-15	5.00E+20
13.18	9.94E-15	9.86E-15	5.00E+20
13.27	1.02E-14	1.00E-14	5.00E+20
