electron mobility	Ar mobili	ar2 mobi	elediff 	ar diffusio	ar2 diffusio	ar*diffusio
8.5115384615385E+023	3.75E+021	4.5E+021	7.085576923077E+023	9.703125E+019	1.164375E+020	1.833393028845E+022
8.48173076923075E+023	3.75E+021	4.5E+021	7.075E+023	9.703125E+019	1.164375E+020	1.83065625E+022
8.45288461538475E+023	3.75E+021	4.5E+021	7.064423076923E+023	9.703125E+019	1.164375E+020	1.827919471155E+022
8.425E+023	3.75E+021	4.5E+021	7.05480769230775E+023	9.703125E+019	1.164375E+020	1.825431490385E+022
8.398076923077E+023	3.75E+021	4.5E+021	7.04519230769225E+023	9.703125E+019	1.164375E+020	1.822943509615E+022
8.37115384615375E+023	3.75E+021	4.5E+021	7.0346153846155E+023	9.703125E+019	1.164375E+020	1.82020673077E+022
8.34519230769225E+023	3.75E+021	4.5E+021	7.0259615384615E+023	9.703125E+019	1.164375E+020	1.8179675480775E+022
8.32019230769225E+023	3.75E+021	4.5E+021	7.01634615384625E+023	9.703125E+019	1.164375E+020	1.8154795673075E+022
8.29519230769225E+023	3.75E+021	4.5E+021	7.00673076923075E+023	9.703125E+019	1.164375E+020	1.8129915865375E+022
8.2721153846155E+023	3.75E+021	4.5E+021	6.998076923077E+023	9.703125E+019	1.164375E+020	1.810752403845E+022
8.248076923077E+023	3.75E+021	4.5E+021	6.9884615384615E+023	9.703125E+019	1.164375E+020	1.8082644230775E+022
8.2259615384615E+023	3.75E+021	4.5E+021	6.97980769230775E+023	9.703125E+019	1.164375E+020	1.806025240385E+022
8.20384615384625E+023	3.75E+021	4.5E+021	6.97115384615375E+023	9.703125E+019	1.164375E+020	1.8037860576925E+022
8.18269230769225E+023	3.75E+021	4.5E+021	6.9625E+023	9.703125E+019	1.164375E+020	1.801546875E+022
8.1615384615385E+023	3.75E+021	4.5E+021	6.95384615384625E+023	9.703125E+019	1.164375E+020	1.7993076923075E+022
8.14038461538475E+023	3.75E+021	4.5E+021	6.94615384615375E+023	9.703125E+019	1.164375E+020	1.7973173076925E+022
8.12115384615375E+023	3.75E+021	4.5E+021	6.9375E+023	9.703125E+019	1.164375E+020	1.795078125E+022
8.1009615384615E+023	3.75E+021	4.5E+021	6.92884615384625E+023	9.703125E+019	1.164375E+020	1.7928389423075E+022
8.08173076923075E+023	3.75E+021	4.5E+021	6.92115384615375E+023	9.703125E+019	1.164375E+020	1.7908485576925E+022
8.0634615384615E+023	3.75E+021	4.5E+021	6.9134615384615E+023	9.703125E+019	1.164375E+020	1.7888581730775E+022
8.04519230769225E+023	3.75E+021	4.5E+021	6.90480769230775E+023	9.703125E+019	1.164375E+020	1.786618990385E+022
8.02788461538475E+023	3.75E+021	4.5E+021	6.8971153846155E+023	9.703125E+019	1.164375E+020	1.78462860577E+022
8.0096153846155E+023	3.75E+021	4.5E+021	6.889423076923E+023	9.703125E+019	1.164375E+020	1.782638221155E+022
7.99326923076925E+023	3.75E+021	4.5E+021	6.88173076923075E+023	9.703125E+019	1.164375E+020	1.7806478365375E+022
7.9759615384615E+023	3.75E+021	4.5E+021	6.8740384615385E+023	9.703125E+019	1.164375E+020	1.7786574519225E+022
7.9596153846155E+023	3.75E+021	4.5E+021	6.86634615384625E+023	9.703125E+019	1.164375E+020	1.7766670673075E+022
7.94423076923075E+023	3.75E+021	4.5E+021	6.85865384615375E+023	9.703125E+019	1.164375E+020	1.7746766826925E+022
7.92884615384625E+023	3.75E+021	4.5E+021	6.851923076923E+023	9.703125E+019	1.164375E+020	1.772935096155E+022
7.9134615384615E+023	3.75E+021	4.5E+021	6.84423076923075E+023	9.703125E+019	1.164375E+020	1.7709447115375E+022
7.898076923077E+023	3.75E+021	4.5E+021	6.8365384615385E+023	9.703125E+019	1.164375E+020	1.7689543269225E+022
7.88365384615375E+023	3.75E+021	4.5E+021	6.82980769230775E+023	9.703125E+019	1.164375E+020	1.767212740385E+022
7.86923076923075E+023	3.75E+021	4.5E+021	6.8221153846155E+023	9.703125E+019	1.164375E+020	1.76522235577E+022
7.85480769230775E+023	3.75E+021	4.5E+021	6.81538461538475E+023	9.703125E+019	1.164375E+020	1.76348076923E+022
7.84134615384625E+023	3.75E+021	4.5E+021	6.80865384615375E+023	9.703125E+019	1.164375E+020	1.7617391826925E+022
7.826923076923E+023	3.75E+021	4.5E+021	6.8009615384615E+023	9.703125E+019	1.164375E+020	1.7597487980775E+022
7.8134615384615E+023	3.75E+021	4.5E+021	6.79423076923075E+023	9.703125E+019	1.164375E+020	1.7580072115375E+022
7.8009615384615E+023	3.75E+021	4.5E+021	6.7875E+023	9.703125E+019	1.164375E+020	1.756265625E+022
7.7875E+023	3.75E+021	4.5E+021	6.78076923076925E+023	9.703125E+019	1.164375E+020	1.7545240384625E+022
7.775E+023	3.75E+021	4.5E+021	6.7740384615385E+023	9.703125E+019	1.164375E+020	1.7527824519225E+022
7.7625E+023	3.75E+021	4.5E+021	6.76730769230775E+023	9.703125E+019	1.164375E+020	1.751040865385E+022
7.75E+023	3.75E+021	4.5E+021	6.760576923077E+023	9.703125E+019	1.164375E+020	1.749299278845E+022
7.7384615384615E+023	3.75E+021	4.5E+021	6.75384615384625E+023	9.703125E+019	1.164375E+020	1.7475576923075E+022
7.7259615384615E+023	3.75E+021	4.5E+021	6.7471153846155E+023	9.703125E+019	1.164375E+020	1.74581610577E+022
7.714423076923E+023	3.75E+021	4.5E+021	6.74134615384625E+023	9.703125E+019	1.164375E+020	1.7443233173075E+022
7.70288461538475E+023	3.75E+021	4.5E+021	6.7346153846155E+023	9.703125E+019	1.164375E+020	1.74258173077E+022
7.69134615384625E+023	3.75E+021	4.5E+021	6.72788461538475E+023	9.703125E+019	1.164375E+020	1.74084014423E+022
7.68076923076925E+023	3.75E+021	4.5E+021	6.7221153846155E+023	9.703125E+019	1.164375E+020	1.73934735577E+022
7.67019230769225E+023	3.75E+021	4.5E+021	6.71538461538475E+023	9.703125E+019	1.164375E+020	1.73760576923E+022
7.65865384615375E+023	3.75E+021	4.5E+021	6.7096153846155E+023	9.703125E+019	1.164375E+020	1.73611298077E+022
7.648076923077E+023	3.75E+021	4.5E+021	6.70288461538475E+023	9.703125E+019	1.164375E+020	1.73437139423E+022
7.6375E+023	3.75E+021	4.5E+021	6.6971153846155E+023	9.703125E+019	1.164375E+020	1.73287860577E+022
7.6259615384615E+023	3.75E+021	4.5E+021	6.69134615384625E+023	9.703125E+019	1.164375E+020	1.7313858173075E+022
7.61634615384625E+023	3.75E+021	4.5E+021	6.6846153846155E+023	9.703125E+019	1.164375E+020	1.72964423077E+022
7.60576923076925E+023	3.75E+021	4.5E+021	6.67884615384625E+023	9.703125E+019	1.164375E+020	1.7281514423075E+022
7.59615384615375E+023	3.75E+021	4.5E+021	6.673076923077E+023	9.703125E+019	1.164375E+020	1.726658653845E+022
7.5865384615385E+023	3.75E+021	4.5E+021	6.66634615384625E+023	9.703125E+019	1.164375E+020	1.7249170673075E+022
7.576923076923E+023	3.75E+021	4.5E+021	6.660576923077E+023	9.703125E+019	1.164375E+020	1.723424278845E+022
7.56730769230775E+023	3.75E+021	4.5E+021	6.65480769230775E+023	9.703125E+019	1.164375E+020	1.721931490385E+022
7.55769230769225E+023	3.75E+021	4.5E+021	6.6490384615385E+023	9.703125E+019	1.164375E+020	1.7204387019225E+022
7.5490384615385E+023	3.75E+021	4.5E+021	6.64326923076925E+023	9.703125E+019	1.164375E+020	1.7189459134625E+022
7.539423076923E+023	3.75E+021	4.5E+021	6.6375E+023	9.703125E+019	1.164375E+020	1.717453125E+022
7.53076923076925E+023	3.75E+021	4.5E+021	6.63173076923075E+023	9.703125E+019	1.164375E+020	1.7159603365375E+022
7.5221153846155E+023	3.75E+021	4.5E+021	6.6259615384615E+023	9.703125E+019	1.164375E+020	1.7144675480775E+022
7.5134615384615E+023	3.75E+021	4.5E+021	6.62019230769225E+023	9.703125E+019	1.164375E+020	1.712974759615E+022
7.50480769230775E+023	3.75E+021	4.5E+021	6.614423076923E+023	9.703125E+019	1.164375E+020	1.711481971155E+022
7.49615384615375E+023	3.75E+021	4.5E+021	6.60865384615375E+023	9.703125E+019	1.164375E+020	1.7099891826925E+022
7.4875E+023	3.75E+021	4.5E+021	6.60384615384625E+023	9.703125E+019	1.164375E+020	1.7087451923075E+022
7.47884615384625E+023	3.75E+021	4.5E+021	6.598076923077E+023	9.703125E+019	1.164375E+020	1.707252403845E+022
7.47115384615375E+023	3.75E+021	4.5E+021	6.59230769230775E+023	9.703125E+019	1.164375E+020	1.705759615385E+022
7.4625E+023	3.75E+021	4.5E+021	6.5875E+023	9.703125E+019	1.164375E+020	1.704515625E+022
7.45480769230775E+023	3.75E+021	4.5E+021	6.58173076923075E+023	9.703125E+019	1.164375E+020	1.7030228365375E+022
7.4471153846155E+023	3.75E+021	4.5E+021	6.5759615384615E+023	9.703125E+019	1.164375E+020	1.7015300480775E+022
7.439423076923E+023	3.75E+021	4.5E+021	6.57115384615375E+023	9.703125E+019	1.164375E+020	1.7002860576925E+022
7.43173076923075E+023	3.75E+021	4.5E+021	6.56538461538475E+023	9.703125E+019	1.164375E+020	1.69879326923E+022
7.4240384615385E+023	3.75E+021	4.5E+021	6.560576923077E+023	9.703125E+019	1.164375E+020	1.697549278845E+022
7.41634615384625E+023	3.75E+021	4.5E+021	6.55480769230775E+023	9.703125E+019	1.164375E+020	1.696056490385E+022
7.40865384615375E+023	3.75E+021	4.5E+021	6.55E+023	9.703125E+019	1.164375E+020	1.6948125E+022
7.4009615384615E+023	3.75E+021	4.5E+021	6.54519230769225E+023	9.703125E+019	1.164375E+020	1.693568509615E+022
7.39423076923075E+023	3.75E+021	4.5E+021	6.539423076923E+023	9.703125E+019	1.164375E+020	1.692075721155E+022
7.3865384615385E+023	3.75E+021	4.5E+021	6.5346153846155E+023	9.703125E+019	1.164375E+020	1.69083173077E+022
7.37980769230775E+023	3.75E+021	4.5E+021	6.53076923076925E+023	9.703125E+019	1.164375E+020	1.6898365384625E+022
7.373076923077E+023	3.75E+021	4.5E+021	6.5259615384615E+023	9.703125E+019	1.164375E+020	1.6885925480775E+022
7.36634615384625E+023	3.75E+021	4.5E+021	6.52115384615375E+023	9.703125E+019	1.164375E+020	1.6873485576925E+022
7.35865384615375E+023	3.75E+021	4.5E+021	6.51538461538475E+023	9.703125E+019	1.164375E+020	1.68585576923E+022
7.351923076923E+023	3.75E+021	4.5E+021	6.510576923077E+023	9.703125E+019	1.164375E+020	1.684611778845E+022
7.34519230769225E+023	3.75E+021	4.5E+021	6.50576923076925E+023	9.703125E+019	1.164375E+020	1.6833677884625E+022
7.3384615384615E+023	3.75E+021	4.5E+021	6.5009615384615E+023	9.703125E+019	1.164375E+020	1.6821237980775E+022
7.33173076923075E+023	3.75E+021	4.5E+021	6.49615384615375E+023	9.703125E+019	1.164375E+020	1.6808798076925E+022
7.325E+023	3.75E+021	4.5E+021	6.49134615384625E+023	9.703125E+019	1.164375E+020	1.6796358173075E+022
7.31826923076925E+023	3.75E+021	4.5E+021	6.4865384615385E+023	9.703125E+019	1.164375E+020	1.6783918269225E+022
7.3115384615385E+023	3.75E+021	4.5E+021	6.48173076923075E+023	9.703125E+019	1.164375E+020	1.6771478365375E+022
7.30576923076925E+023	3.75E+021	4.5E+021	6.476923076923E+023	9.703125E+019	1.164375E+020	1.675903846155E+022
7.2990384615385E+023	3.75E+021	4.5E+021	6.473076923077E+023	9.703125E+019	1.164375E+020	1.674908653845E+022
7.29326923076925E+023	3.75E+021	4.5E+021	6.46826923076925E+023	9.703125E+019	1.164375E+020	1.6736646634625E+022
7.2865384615385E+023	3.75E+021	4.5E+021	6.4634615384615E+023	9.703125E+019	1.164375E+020	1.6724206730775E+022
7.27980769230775E+023	3.75E+021	4.5E+021	6.45865384615375E+023	9.703125E+019	1.164375E+020	1.6711766826925E+022
7.2740384615385E+023	3.75E+021	4.5E+021	6.45480769230775E+023	9.703125E+019	1.164375E+020	1.670181490385E+022
7.26826923076925E+023	3.75E+021	4.5E+021	6.45E+023	9.703125E+019	1.164375E+020	1.6689375E+022
7.2615384615385E+023	3.75E+021	4.5E+021	6.44519230769225E+023	9.703125E+019	1.164375E+020	1.667693509615E+022
7.25576923076925E+023	3.75E+021	4.5E+021	6.44134615384625E+023	9.703125E+019	1.164375E+020	1.6666983173075E+022
7.25E+023	3.75E+021	4.5E+021	6.4365384615385E+023	9.703125E+019	1.164375E+020	1.6654543269225E+022
7.24423076923075E+023	3.75E+021	4.5E+021	6.43269230769225E+023	9.703125E+019	1.164375E+020	1.664459134615E+022
7.2384615384615E+023	3.75E+021	4.5E+021	6.42788461538475E+023	9.703125E+019	1.164375E+020	1.66321514423E+022
7.23269230769225E+023	3.75E+021	4.5E+021	6.4240384615385E+023	9.703125E+019	1.164375E+020	1.6622199519225E+022
7.226923076923E+023	3.75E+021	4.5E+021	6.41923076923075E+023	9.703125E+019	1.164375E+020	1.6609759615375E+022
7.22115384615375E+023	3.75E+021	4.5E+021	6.41538461538475E+023	9.703125E+019	1.164375E+020	1.65998076923E+022
